"id","text_chunk"
"0","Below are links to A level psychology revision notes organised by module and topic.
Note: AS level topics are in bold, whereas A level topics are not. The entire issues and options in psychology module is for A level only, not AS.

 The syllabus also mentions explanations of resistance to social influence, minority influence, and social change.
Conformity, also known as majority influence, is when a person changes their beliefs and behaviour to fit – or conform – to those of a group.



Look at the line in the box on the left. Which of the lines in the box on the right – A, B, or C – is closest in length to it?"
"1","This was the question put to participants in Asch (1955). The aim of these experiments was to find out the extent to which people would conform to an obviously wrong majority consensus."
"2","Participants’ conformity declined from 32% to 5.5% when one ‘partner’ confederate was instructed to give the correct answer and go against the incorrect answer of the majority.
Asch’s findings are consistent with other research which finds conformity rates decline when the majority answer is not unanimous. In other words, if the majority all agree, the participant is more likely to conform to the group than if there is some disagreement."
"3","Increasing the size of the group tended to increase conformity – up to a point. In trials with just one confederate and one participant, conformity rates were low. Increasing the number of confederates to 2 also increased conformity to 12.8% and increasing the number of confederates to 3 increased conformity even further to 32% (the same as the original study). However, adding extra confederates (4, 8, or 16) beyond this did not increase conformity.
Asch’s findings on conformity and majority size have been replicated in other studies, but other studies suggest conformity continues to increase with majority size beyond this."
"4","Increasing the difficulty of the task was also found to increase conformity. Asch adjusted the lengths of the lines in the study above to make it either more easy or more difficult to see which line was closest in length to the original line. If the difference between the incorrect answer and the correct answer was very small (and thus harder to notice), participants were more likely to conform to the incorrect answers of the majority.
Deutsch and Gerard (1955) explain why people conform by identifying 2 motivating forces: Informational social influence and normative social influence."
"5","People like to feel that their opinions and beliefs are correct – this is informational social influence. This desire to be correct motivates individuals to act on information provided by members of the group because they believe that information to be true or the correct way to do things.
An example of informational social influence is conforming to others’ behaviour at a formal restaurant. You don’t know which cutlery is the correct set to use, so you just copy someone else who seems to know what they’re doing."
"6","People want to be accepted by others and not be rejected – this is normative social influence. This desire to fit in motivates individuals to conform to the beliefs and opinions of a group so as not to stand out. The motivation of normative social influence is not a desire to be correct (like ISI), but is instead a desire to be liked and accepted.
An example of being motivated by normative social influence would be being peer pressured into agreeing with the group’s opinions on politics."
"7","Different social situations have different expectations for behaviour – different social norms. These norms give rise to social roles that people play according to the social situation. We play these different roles – i.e. we conform to social roles – so as to behave correctly and appropriately in society.
For example, in the role of employee, you are expected to show up on time and do your work. In the role of customer in a shop, you are expected to pay for the items you buy.
The aim of the Stanford prison study (Zimbardo et al (1973)) was to find out how much people conform to the social roles of prisoner and guard in a prison situation.
The results of the prison experiment suggest that people conform to social roles to a significant extent."
"8","In interviews with participants afterwards, both the prisoners and the guards expressed shock at how out-of-character their behaviour had become. Remember, the participants were selected for their mental stability, yet they behaved in ways that they would ordinarily consider to be wrong (particularly the guards). This supports a situational hypothesis of behaviour over a dispositional one: these people did not necessarily have a sadistic disposition, but were instead conforming to the social roles of the situation."
"9","However, it should be noted that not all participants conformed to their roles to the same extent. Some guards did not sadistically exert control and some prisoners did not break down and become totally submissive. This suggests that while situational factors are important, individual dispositions play an important role in behaviour too. Further, some studies designed to replicate Zimbardo’s have challenged his emphasis on social roles.
Obedience is when a person complies with – obeys – the orders of an authority figure.
The aim of Milgram’s (1963) obedience study was to investigate the extent to which people obey the orders of an authority figure."
"10","Milgram’s study was in part motivated by a desire to understand why Nazi soldiers in World War 2 acted how they did. For example, shortly before Milgram’s study, Adolf Eichmann – a senior Nazi officer responsible for deporting Jews to ghettos and concentration camps – defended his actions at trial by repeatedly saying “I was only following orders”. 
Milgram wanted to know if the German people had a uniquely obedient disposition that explained their behaviour. The study suggests not: American people will also obey the demands of an authority figure even if it means going against their moral compass."
"11","In subsequent studies, Milgram found that obedience declined if the participant was physically closer to the learner. For example, when the participant and the learner were in the same room, obedience fell to 40% from 65%. In one experiment, the participant teacher had to actually hold the learner’s arm onto a shock plate, which resulted in just 30% of participants completing the experiment (again vs. 65% in the original experiment).
The proximity of the authority figure also affects obedience. In experiments where the experimenter gave instructions to the participant via telephone, obedience fell to 21% compared to the original 65%."
"12","Milgram also carried out the study in different settings and found that obedience increases in institutional and official-seeming environments. For example, Milgram’s original experiment (65% obedience) was conducted at the prestigious Yale University. But when Milgram replicated the experiment in an office in a bad part of town, obedience dropped to 47.5%.
In Milgram’s original experiment, the experimenter wore a lab coat and instructed the teacher to increase the voltage. However, in another variation of the experiment, the experimenter was replaced mid-way through by someone wearing ordinary clothes, who told the participant to increase the voltage with each wrong answer. In this variation, obedience was 20% rather than 65%."
"13","The influence of uniform is further supported by Bickman (1974). Bickman found that 38% of participants obeyed the orders of someone wearing a security guard’s uniform compared to 19% when wearing ordinary clothes and 14% when wearing a milkman’s uniform.
According to Milgram’s theory, we are taught from a young age that obedience is necessary for an orderly society. But this requires individuals to give up some amount of free will. In situations where an individual obeys an authority figure, they (mentally) hand over responsibility for their actions to the person giving the orders. In the agentic state, a person will obey instructions that go against their moral compass because they do not consider themselves personally responsible for them."
"14","Another reason for obedience is that individuals may accept an authority figure has a legitimate right to be giving orders. This ties in with the agentic state: we are taught that obedience to authority figures (e.g. parents, teachers, police) is necessary for an orderly society and thus are more likely to do as they say.
Some of the variables in Milgram’s experiments clearly added to the perceived legitimacy of the experimenter’s authority. Participants were more likely to obey the experimenter if he was wearing a lab coat, and the prestigious location of Yale University likely increased the perceived legitimacy of the experimenter in the participant’s eyes. If a person accepts an authority figure as legitimate, that person will feel they have a duty to do as the authority figure says."
"15","A further explanation of obedience is that some people have an inherent disposition towards obedience. This would be an internal explanation of obedience because it explains obedience as part of someone’s personality rather than an external one that explains obedience as a result of the environment they are in.
Milgram wanted to know if the German people were uniquely disposed towards obedience and concluded not. However, within populations (German, American, or other), there may be individuals whose personality is more disposed to obedience and authoritarianism. Psychologist Erich Fromm proposed the authoritarian personality: people whose disposition makes them submissive to authority and dominating of people with lower status within the hierarchy and members of an out-group."
"16","Adorno et al (1950) created the F-scale personality test to measure the authoritarian personality in people. In later research, Milgram found that people who were highly obedient in his experiments scored higher on the F-scale than those who disobeyed. This suggests that the authoritarian personality type can (at least partly) explain obedience."
"17","Social influence has both positive and negative effects. It would be a chaotic society if nobody ever conformed to social roles (e.g. children just ignored parents, students ignored teachers, etc.) and things like teamwork would be practically impossible. But sometimes social influence can have negative effects, like being peer-pressured into dangerous behaviour or obeying an authority figure who is asking you to do something immoral (e.g. Milgram’s experiments).
So, sometimes individuals may choose to assert their own free choice and resist social influence. To resist conformity is non-conformism, and to resist obedience is disobedience.
Example question: Discuss what psychological research has told us about why people resist social influence. [16 marks]"
"18","Conformity: As mentioned above, Solomon Asch observed that participant conformity declined from 32% to 5.5% when one of the confederates went against the group and said the correct answer. Having someone else break the unanimity of the group provided social support for the participant to give the answer he really thought.
Obedience: In another variation of Milgram’s experiments, participants took part in the experiment with two other (confederate) teachers. When the other teachers refused to administer any more electric shocks and left the study, participant obedience dropped from 65% to 10%.
Conformity: A meta-analysis by Avtgis (1998) found that people with an internal locus of control are less likely to conform to group influence than people with an external locus of control."
"19","Obedience: Research linking obedience and locus of control is more mixed, but leans in the direction of also suggesting that those with an internal locus of control are less likely to obey an authority figure than those with an external locus of control. This may be because people with an internal locus of control feel they have control over their actions and thus are able to resist the influence of an authority figure.
The social norms of society (i.e. the expected rules for behaviour) are largely determined by majority influence. Social change is the process by which these norms change over time."
"20","Minority influence is an important factor for social change. Although majority influence (conformity) determines current social norms, minority influence can convert individuals to reject these social norms and adopt the beliefs and behaviours of a minority. Eventually, if enough people are converted to the minority’s beliefs, they become the new majority and establish new social norms.
An example of minority influence would be the spread of Christianity: the minority influence of this initially small movement converted many European countries to become majority Christian. Another example of minority influence would be the suffragettes converting the majority to accept women’s rights to vote."
"21","Social cryptoamnesia is the process whereby the minority influences a few members of the majority at first, but as these numbers grow it causes a snowball effect where more and more members of the majority get converted at a growing pace.
The following 3 variables increase the effectiveness of minority influence: Consistency, commitment, and flexibility.
Moscovici and Naffrechoux (1969) conducted experiments on minority influence. Participants were divided into groups of 6 (4 real participants and 2 confederates) and told they were taking part in a study of visual perception. The participants were shown 36 shades of blue and asked to say out loud what the colour was.
This suggests minority influence is more effective when the minority are consistent in their beliefs and behaviours."
"22","Moscovici also argues that minority influence is most effective when the minority remain committed to their beliefs over time (especially in the face of adversity).
Although consistency is important, minority influence is less effective if the minority is completely inflexible and unwilling to compromise with the majority."
"23","For example, Nemeth (1986) divided participants into groups of 4 (with 1 confederate) to negotiate how much insurance money to pay someone. She found that confederates who demonstrated flexibility were more effective at persuading the majority to accept a low amount than confederates who inflexibly stuck to a very low amount. Additional cognitive models break down the components of the MSM into further detail. For example, the working memory model (WMM) provides extra detail about how short-term memory works. The syllabus also requires you to know about the different types of long-term memory.
As well as these models of memory, the syllabus also mentions explanations of forgetting, and eyewitness testimony."
"24","Atkinson and Shiffrin (1968) devised the multi-store model (MSM) of memory. It is a cognitive approach that explains memory as information passing through a series of 3 storage systems: the sensory register, then short-term memory, and then long-term memory."
"25","The first system of the MSM is the sensory register. It basically contains the immediate data that comes from the senses.
If the individual pays attention to the information coming in via the sensory register, that information is passed on to the next storage system of the MSM – short-term memory – where it may be retained for longer.
The second system of the MSM is short-term memory (also called working memory within the WMM). It basically contains all the information that an individual is currently thinking about.
Extended rehearsal can transfer information from short-term memory to the next storage system of the MSM: long-term memory."
"26","Long-term memory lasts anywhere from more than 30 seconds to an entire lifetime. There are several different types of long-term memory (see below), but all long-term memories will have originally passed through both the sensory register and short-term memory.
Once a long-term memory is stored, it can be retrieved and temporarily transferred to short term memory and manipulated (this retrieval process may also improve the duration of the memory). An example of retrieval would be remembering a pleasant experience from your childhood and thinking about how you felt that day."
"27","The working memory model (WMM) was developed by Baddeley and Hitch (1974) and builds on the multi-store model – in particular, the MSM’s model of short-term memory. Rather than replacing the MSM, the WMM is better understood as a more detailed description of the MSM’s short-term memory component.
Whereas the MSM describes short-term memory as a single store, the WMM divides short-term memory into 4 separate components: the central executive, phonological loop, visuo-spatial sketchpad, and the episodic buffer. These components serve different functions and hold different types of information, which are actively worked upon as the individual thinks."
"28","Ryan was able to hold a conversation with a friend whilst driving his car. However, when reading a newspaper later that day, Ryan had to stop what he was doing in order to have a conversation with his friend. 
With reference to the working memory model, explain Ryan’s different experiences. [4 marks]
The central executive is the component that filters and co-ordinates the various components of working memory. It process sensory information coded in all forms (auditory, visual, etc.) and directs this information to three slave systems: the phonological loop, the visuo-spatial sketchpad, and the episodic buffer. The central executive also receives information from these slave systems once it has been processed by them."
"29","The central executive has a fairly limited capacity. For example, Baddeley (1996) observed that participants struggled to perform two tasks (e.g. generating lists of random numbers and switching between pressing letters and numbers on a keyboard) simultaneously, and suggested this was because both tasks were competing for central executive resources."
"30","So, part of the role of the central executive is to co-ordinate its limited capacity. For example, the central executive may direct information required for driving to the visuo-spatial sketchpad, and information required for talking would be directed to the phonological loop – allowing a person to drive and talk simultaneously. The central executive is also responsible for switching attention to specific information sources that require attention.
Research suggests the capacity of the phonological loop is limited to how long words are rather than how many words there are. For example, one long word (e.g. floccinaucinihilipification) is more difficult to store in the phonological loop than three short words (e.g. cat, boat, and happy)."
"31","The visuo-spatial sketchpad is the mind’s inner eye – it stores visual and spatial information. Information within the visuo-spatial sketchpad is coded as mental pictures.
The episodic buffer is a temporary store for information coded in all forms (auditory, visual, etc.).
The original WMM did not include the episodic buffer. But because the central executive has no storage capacity, and the phonological loop and visuo-spatial sketchpad are only able to store and process specific types of information, the introduction of the episodic buffer in 2000 explains how people can combine and store general information from the various components of short- and long-term memory."
"32","For example, the working memory of a story will likely contain visual, semantic, and chronological information (i.e. the order of events). These different types of information would be combined in the episodic buffer to form a coherent story in short-term memory.
The multi-store model of long-term memory (LTM) explains it as one single store. However, this is overly simplistic, as research suggests there are many different types of long-term memory."
"33","The main distinction is between explicit and implicit long-term memory. Explicit LTM is conscious and easy to put into words – for example remembering your first day at school (episodic), or a fact such as “Paris is the capital of France” (semantic). In contrast, implicit LTM is more subconscious and includes skills and abilities such as knowing how to ride a bike (procedural)."
"34","Episodic long-term memory covers the story of our lives – things like memories of specific events and the order they occurred in. For example, remembering your first day at school, or a holiday you went on a few years back, or some embarrassing memory of falling over are all examples of episodic long-term memory. It includes context (e.g. time and place), details of what happened, and the emotions felt.
Strong emotions (positive or negative) cause episodic memories to be coded more strongly. Similarly, if episodic memories are highly processed (for example by rehearsal/repetition) they will be coded more strongly."
"35","Semantic long-term memory covers meaning, understanding, and general knowledge. Examples of semantic memory would be facts like “the Battle of Hastings was in 1066” and general understanding of concepts like dogs as 4-legged mammals that run around and bark.
Procedural long-term memory covers how to do things – actions, skills, abilities, etc. For example, remembering how to juggle, ride a bicycle, or drive a car. We begin forming procedural memories from a young age – things like knowing how to walk and talk are learned and then stored as procedural memory."
"36","Although procedural memories are easy to act out, they are difficult/impossible to consciously explain in words. So, unlike semantic and episodic LTM, procedural memory is implicit. The fact that procedural memories do not require conscious thought means they can be recalled while simultaneously performing other cognitive activities – for example, trying to remember what the tallest mountain is (semantic, explicit) while walking along the road (procedural, implicit).
Forgetting is the inability to remember memories. Although there are many explanations of forgetting, the A level psychology syllabus lists two specifically: Interference and retrieval failure due to absence of cues"
